OID_,O_address,FREQUENCY,MEAN_Total_PublicTransitTime,MIN_Total_PublicTransitTime,MAX_Total_PublicTransitTime,STD_Total_PublicTransitTime,MEAN_Attraction_CostNormalized,MIN_Attraction_CostNormalized,MAX_Attraction_CostNormalized,STD_Attraction_CostNormalized
77,192-198 Pinckney Rd,6,40.623431982639481,20.716950010923991,85.733636605221605,28.895798709486737,4.358418562396174,0.014537553451663,15.929817110883974,6.158061812120908
78,1B Deibler Dr,4,50.266683732008993,46.674290003052619,57.352478289262685,4.831586188120363,2.895415879239520,0.017436038159614,7.918706422225751,3.542004490082798
79,200 Conifer Dr,37,58.569106720326310,36.273923130008825,87.505346317301402,13.178227277688059,20.759353339895267,0.081678823226945,299.237224947586640,57.369601428178605
80,200 W Hill Cir,33,69.173019644544127,51.168365166742596,82.847664553176017,9.591170755963589,17.623671444145852,0.065694545441026,228.503000616534621,46.916629631810615
81,202 Dryden Rd,52,35.588189572671034,1.076401470385951,86.817541697840426,22.208704244756461,37.587564776449980,0.011518409533875,415.005579117092338,84.694774234307246
82,202 Linden-4 Bedroom Btb Ave Unit 203,51,35.140372926305290,2.157734917369115,88.967381870823488,21.420850987997053,33.095442810356630,0.011240074496650,437.930005579609883,78.746851838798605
83,202 Linden Ave Unit 1,51,35.140372926305290,2.157734917369115,88.967381870823488,21.420850987997053,33.095442810356630,0.011240074496650,437.930005579609883,78.746851838798605
84,202 Linden Ave Unit 303,51,35.140372926305290,2.157734917369115,88.967381870823488,21.420850987997053,33.095442810356630,0.011240074496650,437.930005579609883,78.746851838798605
85,205 Williams St,51,33.447570876248051,0.848812121134462,89.986130034874947,22.031840425115604,37.130628116913414,0.011112823716415,463.324776352797699,83.145988324759927
86,208 Dryden Rd,52,36.242547564852686,1.766624203535875,87.507764430990335,22.194738273416281,33.351964249125317,0.011427557388792,406.910155965135345,75.259279014766733
87,210 Delaware Ave,51,37.074876192916577,4.584674896862320,86.848301281693580,21.049446955187882,27.933599765863477,0.011514329989673,396.179712671826906,67.278834614455306
