OID_,Total_PublicTransitTime,Properties_Name,Properties_DistanceToNetworkInMeters
210,25.977081553093843,324 Pleasant St,27.579768526942878
211,53.501549440102174,324 Spencer Rd,45.737709601802656
212,26.740481864590866,123 Columbia St # 123COL,23.858179691857455
213,26.950542473355295,405-409 S Aurora St,48.508949535596507
214,26.701345894651279,311-313 S Aurora St,37.943859101782380
215,12.216753970539552,101 Dryden Rd,22.638491038035159
216,25.085075255107551,105 Hudson St # 105HUD,30.268838313585292
217,25.405114691673131,429-431 N Tioga St,26.238196494013405
218,16.447236126744450,519 E Buffalo St,40.144624754613034
219,66.470372882159808,106 Wiedmaier Ct,45.288277939299050
220,9.072828307196515,409 College Ave,32.997781343311438
221,65.315702694872442,103 Wiedmaier Ct,16.286312555935222
222,42.856092071861887,902 Dryden Rd,80.624229998723351
