,address/locality,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,name,sqft,status,stories,type,units,year_built,amenity_count
99,Ithaca,807 Triphammer Rd # B,1.0,2.0,42.463409,-76.483368,0.0,9561869455,1540.0,1.0,93.0,2.0,,800.0,for_rent,1.0,apartment,1.0,,3
100,Ithaca,715 Triphammer Rd,1.0,2.0,42.46294,-76.483197,0.0,4694639821,1540.0,1.0,93.0,2.0,,0.0,for_rent,1.0,apartment,1.0,,5
101,Ithaca,327 W Seneca St Apt 203,1.0,2.0,42.440075,-76.503532,0.0,9181092076,1950.0,3.0,70.0,2.0,,700.0,for_rent,1.0,apartment,1.0,,0
102,Ithaca,124 Roberts Pl,2.0,3.0,42.453167,-76.484934,0.0,4335817125,1250.0,,90.0,,,1500.0,for_rent,1.0,apartment,1.0,,2
103,Ithaca,702 N Aurora St,1.0,2.0,42.447485,-76.496377,0.0,3603094472,1450.0,6.0,83.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,2
104,Ithaca,705 E Buffalo St,1.0,2.0,42.441341,-76.488255,0.0,3843087142,1380.0,1.0,77.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,5
105,Ithaca,303 Wyckoff Ave,2.0,4.0,42.455059,-76.483592,0.0,3451496618,3100.0,1.0,92.0,2.0,,2400.0,for_rent,1.0,apartment,1.0,,3
106,Ithaca,103 Spring Ln,1.0,2.0,42.441994,-76.491734,0.0,3830304923,1620.0,1.0,79.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,0
107,Freeville,1B Deibler Dr,1.0,2.0,42.494366,-76.37544,0.0,4052872017,1300.0,1.0,100.0,2.0,,0.0,for_rent,1.0,apartment,1.0,,3
108,Ithaca,112 Sapsucker Woods Rd,1.0,2.0,42.468651,-76.450523,0.0,9144834287,1695.0,1.0,93.0,2.0,,3078.0,for_rent,1.0,apartment,1.0,1976.0,1
109,Ithaca,425 Troy Rd,2.0,3.0,42.385446,-76.470106,0.0,3319701317,775.0,1.0,100.0,3.0,,1400.0,for_rent,1.0,apartment,1.0,,3
110,Ithaca,202 Dryden Rd,2.5,5.5,42.441786,-76.484831,0.0,9004372666,855.0,1.0,71.0,3.0,Landlords Association,0.0,for_rent,1.0,apartment,2.0,0.0,4
111,Ithaca,107 Elmwood Ave,2.0,4.0,42.438428,-76.478496,0.0,4209064466,4100.0,1.0,79.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,5
